ID_Uzorka;GPS_LAT;GPS_LONG
1;18.490504;77.389842
2;18.494941;77.392955
3;18.475534;77.385066
4;18.491945;77.399319
5;18.484115;77.381353
6;18.477689;77.390414
7;18.481065;77.396571
8;18.474514;77.389486
9;18.48207;77.379807
10;18.48687;77.381521
11;18.494247;77.388705
12;18.489256;77.392833
13;18.48065;77.383204
14;18.4823;77.388859
15;18.488119;77.390338
16;18.479139;77.397135
17;18.484714;77.389106
18;18.485195;77.388244
19;18.480151;77.39583
20;18.481072;77.389134
21;18.484978;77.388274
22;18.489564;77.388944
23;18.486024;77.379986
24;18.482327;77.383618
25;18.478803;77.381724
26;18.488453;77.39991
27;18.486388;77.391351
28;18.483572;77.389859
29;18.483952;77.385704
30;18.487301;77.395026
31;18.488401;77.39192
32;18.467096;77.387374
33;18.484387;77.387085
34;18.48747;77.390905
35;18.475341;77.388218
36;18.489472;77.401609
37;18.478091;77.382356
38;18.487556;77.396404
39;18.476893;77.390704
40;18.479245;77.390131
41;18.49195;77.390906
42;18.483826;77.38665
43;18.488343;77.389949
44;18.498531;77.392015
45;18.48386;77.385443
46;18.482634;77.389627
47;18.483021;77.390522
48;18.477257;77.387765
49;18.478629;77.395789
50;18.472746;77.390073
51;18.487531;77.389392
52;18.490412;77.384814
53;18.482338;77.390913
54;18.489784;77.391924
55;18.478671;77.381879
56;18.480828;77.378317
57;18.483094;77.396873
58;18.489257;77.396712
59;18.484286;77.391341
60;18.490983;77.39907
61;18.487185;77.39366
62;18.490192;77.392087
63;18.486463;77.401382
64;18.487463;77.397367
65;18.485787;77.401114
66;18.483272;77.380114
67;18.490066;77.386137
68;18.490477;77.38632
69;18.491904;77.385535
70;18.487385;77.384637
71;18.489748;77.389449
72;18.487031;77.383035
73;18.478073;77.391924
74;18.48102;77.390741
75;18.47897;77.393499
76;18.476044;77.39126
77;18.483911;77.393911
78;18.488315;77.391914
79;18.490908;77.392565
80;18.48487;77.386359
81;18.485962;77.383456
82;18.479684;77.390746
83;18.487116;77.397465
84;18.488907;77.388879
85;18.476721;77.395605
86;18.485129;77.39058
87;18.485004;77.388705
88;18.474432;77.389478
89;18.479695;77.392208
90;18.486343;77.388036
91;18.480721;77.381828
92;18.48568;77.39531
93;18.480092;77.386911
94;18.486574;77.388021
95;18.49121;77.38652
96;18.485887;77.381095
97;18.483356;77.381379
98;18.483751;77.397081
99;18.478504;77.393395
100;18.48393;77.399411
101;18.482875;77.402341
102;18.48904;77.395718
103;18.488677;77.391544
104;18.494984;77.38963
105;18.489496;77.393265
106;18.484239;77.384823
107;18.489195;77.393819
108;18.495958;77.395066
109;18.488298;77.391189
110;18.487141;77.387257
111;18.487634;77.390491
112;18.489453;77.389728
113;18.483854;77.387727
114;18.483113;77.395321
115;18.481893;77.392746
116;18.479121;77.403078
117;18.482295;77.392417
118;18.480843;77.389819
119;18.486688;77.387298
120;18.482621;77.391097
121;18.479656;77.3894
122;18.471185;77.382619
123;18.491546;77.38743
124;18.486853;77.389025
125;18.475664;77.385374
126;18.478615;77.390774
127;18.485511;77.391031
128;18.486863;77.387206
129;18.492161;77.394322
130;18.491924;77.387422
131;18.480911;77.392686
132;18.492398;77.393321
133;18.480692;77.391794
134;18.480534;77.390507
135;18.476076;77.392321
136;18.486886;77.389811
137;18.480213;77.388045
138;18.488143;77.392522
139;18.484812;77.388982
140;18.492001;77.400471
141;18.48199;77.397552
142;18.484947;77.395467
143;18.478148;77.387048
144;18.496196;77.39193
145;18.486498;77.393707
146;18.486979;77.395648
147;18.47311;77.38486
148;18.488483;77.389336
149;18.4828;77.39958
150;18.482541;77.388737
151;18.484503;77.389665
152;18.49206;77.393112
153;18.488417;77.3944
154;18.484253;77.393747
155;18.48738;77.395488
156;18.481205;77.390661
157;18.479795;77.388909
158;18.482721;77.387181
159;18.490414;77.383693
160;18.48273;77.386044
161;18.483923;77.38498
162;18.489182;77.386398
163;18.486673;77.388176
164;18.476986;77.383374
165;18.490855;77.393046
166;18.474371;77.396596
167;18.480398;77.392066
168;18.486605;77.395254
169;18.481672;77.393303
170;18.483116;77.383944
171;18.493094;77.392031
172;18.46987;77.396921
173;18.490051;77.39082
174;18.489066;77.384323
175;18.484695;77.391869
176;18.484495;77.392155
177;18.478555;77.388574
178;18.490631;77.388428
179;18.492525;77.384765
180;18.484695;77.392052
181;18.485024;77.385671
182;18.484467;77.388964
183;18.483244;77.387328
184;18.484017;77.387694
185;18.479961;77.388
186;18.486918;77.39255
187;18.478882;77.396976
188;18.487348;77.383705
189;18.484629;77.390295
190;18.487292;77.394704
191;18.491789;77.383456
192;18.482563;77.385864
193;18.488805;77.392776
194;18.487101;77.394297
195;18.485022;77.393682
196;18.485675;77.378382
197;18.486755;77.396006
198;18.483813;77.389952
199;18.485679;77.385799
200;18.486026;77.397062
201;18.481294;77.377028
202;18.491266;77.399258
203;18.482602;77.401252
204;18.483642;77.385358
205;18.478756;77.388445
206;18.481545;77.38362
207;18.488086;77.392793
208;18.489891;77.395389
209;18.480991;77.387065
210;18.482841;77.387124
211;18.481282;77.394949
212;18.487288;77.391719
213;18.488903;77.396953
214;18.477994;77.404709
215;18.48371;77.398863
216;18.490589;77.387081
217;18.490646;77.394603
218;18.489426;77.406957
219;18.488467;77.396217
220;18.491695;77.386852
221;18.489522;77.393541
222;18.488575;77.386704
223;18.480006;77.393055
224;18.480102;77.378547
225;18.488986;77.382074
226;18.482874;77.393761
227;18.485381;77.391084
228;18.483345;77.390026
229;18.491617;77.393804
230;18.486691;77.382486
231;18.487676;77.38671
232;18.488672;77.39229
233;18.480865;77.398453
234;18.480475;77.382947
235;18.486587;77.389922
236;18.483561;77.402185
237;18.488008;77.398713
238;18.479031;77.39059
239;18.487552;77.393215
240;18.486358;77.396034
241;18.489267;77.395417
242;18.48009;77.390199
243;18.483963;77.387831
244;18.491953;77.399071
245;18.483812;77.386964
246;18.482128;77.391557
247;18.481633;77.39653
248;18.484852;77.38019
249;18.474993;77.394228
250;18.491842;77.396283
